Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,36.59749984741211,37.14500045776367,36.125,36.61249923706055,36.32640838623047,49518000
2019-02-12,37.0,37.95000076293945,36.85499954223633,37.79249954223633,37.4971923828125,59106000
2019-02-13,38.09000015258789,38.95750045776367,37.95249938964844,38.220001220703125,37.921348571777344,60537200
2019-02-14,38.209999084472656,38.91749954223633,37.775001525878906,38.63249969482422,38.330623626708984,82726400
2019-02-15,40.73749923706055,40.967498779296875,39.10499954223633,39.334999084472656,39.02763748168945,151674800
2019-02-19,39.227500915527344,39.97249984741211,39.03499984741211,39.15999984741211,38.8539924621582,55189200
2019-02-20,39.45500183105469,40.314998626708984,39.342498779296875,39.63750076293945,39.32777786254883,54098800
2019-02-21,39.76499938964844,40.01250076293945,38.79499816894531,38.942501068115234,38.638206481933594,44854800
2019-02-22,39.46500015258789,39.98749923706055,39.32749938964844,39.79750061035156,39.48651885986328,40174000
2019-02-25,40.63999938964844,41.31999969482422,39.584999084472656,39.67250061035156,39.36249923706055,65602000
2019-02-26,39.625,40.189998626708984,38.9375,39.275001525878906,38.96810531616211,48846400
2019-02-27,39.130001068115234,39.397499084472656,38.27750015258789,38.852500915527344,38.54890441894531,50025600
2019-02-28,38.75,38.974998474121094,38.34000015258789,38.564998626708984,38.3030891418457,32494400
2019-03-01,39.067501068115234,39.537498474121094,38.47999954223633,39.11249923706055,38.84687042236328,35718800
2019-03-04,39.5,39.72999954223633,38.625,39.19499969482422,38.92881393432617,40999200
2019-03-05,39.037498474121094,39.51499938964844,38.4900016784668,39.130001068115234,38.864253997802734,36292400
2019-03-06,39.040000915527344,39.125,37.98500061035156,38.01250076293945,37.75434112548828,40352400
2019-03-07,37.775001525878906,37.872501373291016,36.849998474121094,37.314998626708984,37.06157684326172,45010400
2019-03-08,36.415000915527344,37.76750183105469,36.20000076293945,37.65999984741211,37.40422821044922,42241600
2019-03-11,37.897499084472656,40.51499938964844,37.42250061035156,40.28499984741211,40.01140594482422,85972800
2019-03-12,40.564998626708984,41.09749984741211,39.79750061035156,40.630001068115234,40.35406494140625,57957600
2019-03-13,41.00749969482422,42.45000076293945,40.932498931884766,42.154998779296875,41.86870193481445,76890000
2019-03-14,42.247501373291016,42.36750030517578,41.3125,41.38999938964844,41.10890197753906,51938400
2019-03-15,41.82500076293945,42.88249969482422,41.790000915527344,42.45249938964844,42.16417694091797,66148400
2019-03-18,42.77000045776367,43.3125,41.96500015258789,42.23749923706055,41.95064926147461,48699200
2019-03-19,43.189998626708984,44.375,43.02000045776367,43.9275016784668,43.629173278808594,85497200
2019-03-20,44.220001220703125,44.75749969482422,43.25,43.599998474121094,43.303890228271484,71914800
2019-03-21,43.83250045776367,46.25,43.782501220703125,45.98500061035156,45.67269515991211,82431200
2019-03-22,45.709999084472656,46.20000076293945,44.23500061035156,44.375,44.0736198425293,74764400
2019-03-25,43.96500015258789,44.61249923706055,42.77750015258789,43.44499969482422,43.149940490722656,52521200
2019-03-26,44.872501373291016,45.4375,43.650001525878906,44.217498779296875,43.91719436645508,70350800
2019-03-27,44.474998474121094,44.942501068115234,43.42499923706055,44.125,43.82533264160156,47437200
2019-03-28,44.38750076293945,44.974998474121094,43.77750015258789,44.3125,44.01154708862305,48026400
2019-03-29,44.98500061035156,45.1349983215332,44.477500915527344,44.88999938964844,44.58513259887695,45689600
2019-04-01,45.814998626708984,45.875,45.092498779296875,45.56999969482422,45.26051712036133,48382400
2019-04-02,45.8125,46.1974983215332,45.380001068115234,45.75,45.43928909301758,44092000
2019-04-03,46.25,47.75,46.20000076293945,47.154998779296875,46.83474349975586,78350400
